iso3,country,year,month,year_month,date,monthly_total_mm_pop
TTO,Trinidad and Tobago,2017,1,2017-01,2017-01-01,109.85375989843989
TTO,Trinidad and Tobago,2017,2,2017-02,2017-02-01,41.36441441592022
TTO,Trinidad and Tobago,2017,3,2017-03,2017-03-01,42.55389432576104
TTO,Trinidad and Tobago,2017,4,2017-04,2017-04-01,18.33056250969497
TTO,Trinidad and Tobago,2017,5,2017-05,2017-05-01,70.4944607559297
TTO,Trinidad and Tobago,2017,6,2017-06,2017-06-01,302.2099515096821
TTO,Trinidad and Tobago,2017,7,2017-07,2017-07-01,164.44408280660048
TTO,Trinidad and Tobago,2017,8,2017-08,2017-08-01,322.82478441243546
TTO,Trinidad and Tobago,2017,9,2017-09,2017-09-01,205.07233574771686
TTO,Trinidad and Tobago,2017,10,2017-10,2017-10-01,233.52582562314765
TTO,Trinidad and Tobago,2017,11,2017-11,2017-11-01,145.6374251995072
TTO,Trinidad and Tobago,2017,12,2017-12,2017-12-01,176.5533062596556
TTO,Trinidad and Tobago,2018,1,2018-01,2018-01-01,112.56261956149582
TTO,Trinidad and Tobago,2018,2,2018-02,2018-02-01,46.00804273613492
TTO,Trinidad and Tobago,2018,3,2018-03,2018-03-01,97.5754627026403
TTO,Trinidad and Tobago,2018,4,2018-04,2018-04-01,28.393252890261017
TTO,Trinidad and Tobago,2018,5,2018-05,2018-05-01,36.56134506255252
TTO,Trinidad and Tobago,2018,6,2018-06,2018-06-01,136.70544483149527
TTO,Trinidad and Tobago,2018,7,2018-07,2018-07-01,194.865650962889
TTO,Trinidad and Tobago,2018,8,2018-08,2018-08-01,293.5243046269989
TTO,Trinidad and Tobago,2018,9,2018-09,2018-09-01,194.48166944413197
TTO,Trinidad and Tobago,2018,10,2018-10,2018-10-01,260.9057384617549
TTO,Trinidad and Tobago,2018,11,2018-11,2018-11-01,163.17517559022735
TTO,Trinidad and Tobago,2018,12,2018-12,2018-12-01,53.85243353205078
TTO,Trinidad and Tobago,2019,1,2019-01,2019-01-01,27.832851097181813
TTO,Trinidad and Tobago,2019,2,2019-02,2019-02-01,48.78342740169777
TTO,Trinidad and Tobago,2019,3,2019-03,2019-03-01,42.80725918365498
TTO,Trinidad and Tobago,2019,4,2019-04,2019-04-01,40.08202351274294
TTO,Trinidad and Tobago,2019,5,2019-05,2019-05-01,24.62877196328894
TTO,Trinidad and Tobago,2019,6,2019-06,2019-06-01,172.23200421846727
TTO,Trinidad and Tobago,2019,7,2019-07,2019-07-01,182.20169226539213
TTO,Trinidad and Tobago,2019,8,2019-08,2019-08-01,166.988548686125
TTO,Trinidad and Tobago,2019,9,2019-09,2019-09-01,184.34601437251285
TTO,Trinidad and Tobago,2019,10,2019-10,2019-10-01,162.80512446059464
TTO,Trinidad and Tobago,2019,11,2019-11,2019-11-01,229.37081024887289
TTO,Trinidad and Tobago,2019,12,2019-12,2019-12-01,122.90350857273442
TTO,Trinidad and Tobago,2020,1,2020-01,2020-01-01,64.9783265720888
TTO,Trinidad and Tobago,2020,2,2020-02,2020-02-01,44.85179757641943
TTO,Trinidad and Tobago,2020,3,2020-03,2020-03-01,27.928930103787216
TTO,Trinidad and Tobago,2020,4,2020-04,2020-04-01,29.652148040309427
TTO,Trinidad and Tobago,2020,5,2020-05,2020-05-01,32.903872482839176
TTO,Trinidad and Tobago,2020,6,2020-06,2020-06-01,185.4452171116007
TTO,Trinidad and Tobago,2020,7,2020-07,2020-07-01,154.14772034687638
TTO,Trinidad and Tobago,2020,8,2020-08,2020-08-01,462.79502488839796
TTO,Trinidad and Tobago,2020,9,2020-09,2020-09-01,200.29513708239395
TTO,Trinidad and Tobago,2020,10,2020-10,2020-10-01,191.35097116962996
TTO,Trinidad and Tobago,2020,11,2020-11,2020-11-01,168.96503688248035
TTO,Trinidad and Tobago,2020,12,2020-12,2020-12-01,60.09398519919898
TTO,Trinidad and Tobago,2021,1,2021-01,2021-01-01,58.777880353816784
TTO,Trinidad and Tobago,2021,2,2021-02,2021-02-01,40.37277502647605
TTO,Trinidad and Tobago,2021,3,2021-03,2021-03-01,102.0462147952859
TTO,Trinidad and Tobago,2021,4,2021-04,2021-04-01,52.487685299861994
TTO,Trinidad and Tobago,2021,5,2021-05,2021-05-01,99.26706598905227
TTO,Trinidad and Tobago,2021,6,2021-06,2021-06-01,246.07254278258378
TTO,Trinidad and Tobago,2021,7,2021-07,2021-07-01,300.55032950382395
TTO,Trinidad and Tobago,2021,8,2021-08,2021-08-01,461.07395347903724
TTO,Trinidad and Tobago,2021,9,2021-09,2021-09-01,122.24393773087596
TTO,Trinidad and Tobago,2021,10,2021-10,2021-10-01,191.73577142452808
TTO,Trinidad and Tobago,2021,11,2021-11,2021-11-01,56.90942058648784
TTO,Trinidad and Tobago,2021,12,2021-12,2021-12-01,170.43984840480786
TTO,Trinidad and Tobago,2022,1,2022-01,2022-01-01,52.398350366070176
TTO,Trinidad and Tobago,2022,2,2022-02,2022-02-01,57.59993767356188
TTO,Trinidad and Tobago,2022,3,2022-03,2022-03-01,40.76148519303749
TTO,Trinidad and Tobago,2022,4,2022-04,2022-04-01,53.255000379383695
TTO,Trinidad and Tobago,2022,5,2022-05,2022-05-01,55.91929807000102
TTO,Trinidad and Tobago,2022,6,2022-06,2022-06-01,342.2799745484377
TTO,Trinidad and Tobago,2022,7,2022-07,2022-07-01,284.1290438374792
TTO,Trinidad and Tobago,2022,8,2022-08,2022-08-01,432.7083436895491
TTO,Trinidad and Tobago,2022,9,2022-09,2022-09-01,252.85352984154375
TTO,Trinidad and Tobago,2022,10,2022-10,2022-10-01,442.475719183178
TTO,Trinidad and Tobago,2022,11,2022-11,2022-11-01,339.14912743656237
TTO,Trinidad and Tobago,2022,12,2022-12,2022-12-01,75.35376002639184
TTO,Trinidad and Tobago,2023,1,2023-01,2023-01-01,99.28222399539553
TTO,Trinidad and Tobago,2023,2,2023-02,2023-02-01,70.84408976996998
TTO,Trinidad and Tobago,2023,3,2023-03,2023-03-01,22.752134256481394
TTO,Trinidad and Tobago,2023,4,2023-04,2023-04-01,101.08283090088057
TTO,Trinidad and Tobago,2023,5,2023-05,2023-05-01,72.25693174278832
TTO,Trinidad and Tobago,2023,6,2023-06,2023-06-01,224.9277657358609
TTO,Trinidad and Tobago,2023,7,2023-07,2023-07-01,220.37788291183614
TTO,Trinidad and Tobago,2023,8,2023-08,2023-08-01,177.34072947288055
TTO,Trinidad and Tobago,2023,9,2023-09,2023-09-01,108.63629723935206
TTO,Trinidad and Tobago,2023,10,2023-10,2023-10-01,113.28774460485
